1,1,1,3.49,1069116
1,1,2,3.62,1069292
2,1,1,4.84,1069292
2,1,2,4.08,1069144
4,1,1,3.59,1069348
4,1,2,3.86,1069148
8,1,1,3.62,1069380
8,1,2,3.55,1069212
16,1,1,3.61,1069300
16,1,2,3.53,1069456
1,2,1,6,1218816
1,2,2,6.04,1218872
2,2,1,5.57,1219392
2,2,2,5.35,1219420
4,2,1,5.43,1219464
4,2,2,5.37,1219428
8,2,1,5.29,1219452
8,2,2,5.31,1219400
16,2,1,5.17,1220112
16,2,2,5.37,1219632
1,4,1,15.43,1505368
1,4,2,16.1,1506100
2,4,1,11.61,1516764
2,4,2,11.5,1518420
4,4,1,9.6,1520040
4,4,2,9.37,1519564
8,4,1,8.38,1533452
8,4,2,8.32,1538228
16,4,1,7.89,1542140
16,4,2,7.63,1544240
1,8,1,36.86,1923176
1,8,2,36.73,1923352
2,8,1,23.24,1934972
2,8,2,22.53,1933416
4,8,1,15.37,1953932
4,8,2,15.64,1949904
8,8,1,11.91,1976212
8,8,2,12.55,1970528
16,8,1,10.33,2043100
16,8,2,10.5,2040716
1,16,1,68.44,2491348
1,16,2,70.38,2488068
2,16,1,40.9,2519728
2,16,2,41.05,2517560
4,16,1,25.48,2543052
4,16,2,26.92,2542668
8,16,1,18.8,2527268
8,16,2,18.66,2541620
16,16,1,14.59,2617180
16,16,2,14.63,2615708
1,32,1,155.69,4001012
1,32,2,159.05,4002612
2,32,1,89.56,4033188
2,32,2,88.13,4021460
4,32,1,52.71,4064472
4,32,2,50.19,4068016
8,32,1,35.94,4106468
8,32,2,34.74,4107260
16,32,1,25.46,4281688
16,32,2,25.45,4274976
1,64,1,296.95,6963860
1,64,2,306.42,6963052
2,64,1,164.06,6984040
2,64,2,164.45,7023728
4,64,1,104.33,7032440
4,64,2,103.36,7054388
8,64,1,64.95,7132404
8,64,2,66.33,7114128
16,64,1,45.84,7201840
16,64,2,46.31,7244156
