1,1,44.32,7064652
1,2,41.01,7145120
1,3,45.07,7070068
1,4,40.95,7145216
1,5,44.93,7145132
1,6,41.33,7079144
1,7,42.11,7067040
1,8,45.76,7065864
1,9,43.31,7029288
1,10,45.22,7057044
2,1,58.37,9680856
2,2,60.05,9661636
2,3,59.58,9680800
2,4,58.22,9712768
2,5,57.51,9708108
2,6,56.26,9664580
2,7,55.84,9711672
2,8,58.2,9717804
2,9,57.87,9688252
2,10,57.5,9663456
4,1,76.07,14113584
4,2,76.84,14013744
4,3,76.25,14047044
4,4,76.39,14090140
4,5,75.41,13955108
4,6,76.67,13989032
4,7,75.59,14043960
4,8,75.64,14093804
4,9,76.16,14099760
4,10,76.49,14030164
8,1,108.75,21853088
8,2,107.56,21850252
8,3,105.87,21849356
8,4,110.1,21843780
8,5,108.77,21831728
8,6,110.84,21830892
8,7,110.51,21803772
8,8,110.16,21821348
8,9,110.27,21853604
8,10,108.77,21859460
16,1,172.37,36972804
16,2,170.8,36959612
16,3,171.31,37013040
16,4,169.71,36969988
16,5,170.93,36960396
16,6,172.43,36956996
16,7,169.24,36960672
16,8,170.31,36945848
16,9,169.5,36961212
16,10,170.6,37009280
32,1,296.18,69849104
32,2,295.07,69920436
32,3,296.84,69850200
32,4,293.69,69919460
32,5,306.74,69919772
32,6,303.25,69867732
32,7,305.91,69861632
32,8,309.81,69849316
32,9,317.04,69918852
32,10,309.44,69849188
64,1,554.84,127380952
64,2,553.59,127354948
64,3,565.89,127361800
64,4,555.91,127364720
64,5,548.48,127292268
64,6,518.01,127367636
64,7,545.86,127360916
64,8,537.55,127374440
64,9,519.15,127371008
64,10,535.72,127366020
