1,1,4.36,1040064
1,2,4.19,1040128
1,3,4.17,1040044
1,4,4.25,1040008
1,5,4.05,1040260
1,6,4.07,1040028
1,7,3.95,1040256
1,8,3.91,1040272
1,9,4.2,1040164
1,10,4.28,1040052
2,1,5.46,1139944
2,2,5.46,1139996
2,3,5.43,1139900
2,4,5.16,1140012
2,5,5.23,1139792
2,6,5.32,1139828
2,7,5.05,1139748
2,8,5.19,1139996
2,9,5.37,1140012
2,10,5.36,1139920
4,1,7.9,1272684
4,2,7.83,1272636
4,3,7.88,1272624
4,4,7.74,1272972
4,5,7.89,1272580
4,6,7.85,1272672
4,7,7.84,1272304
4,8,8.01,1272836
4,9,7.77,1272584
4,10,7.81,1272676
8,1,12.57,1525116
8,2,13.34,1525356
8,3,12.31,1525200
8,4,12.44,1525380
8,5,12.67,1525160
8,6,13.43,1525412
8,7,13.32,1525220
8,8,13.24,1525256
8,9,13.21,1525232
8,10,12.98,1525196
16,1,22.66,1884476
16,2,22.7,1884480
16,3,21.87,1884480
16,4,22.86,1884404
16,5,22.96,1884688
16,6,22.5,1884524
16,7,21.99,1884484
16,8,22.28,1884348
16,9,21.51,1884564
16,10,22.01,1884536
32,1,47.35,2869120
32,2,46.72,2868892
32,3,48.84,2869020
32,4,52.67,2868860
32,5,49.81,2868928
32,6,46.63,2869148
32,7,46.41,2868912
32,8,51.84,2869040
32,9,51.16,2868964
32,10,50.93,2868808
64,1,106.92,4778240
64,2,104.11,4778044
64,3,105.87,4778148
64,4,106.96,4777784
64,5,100.1,4778204
64,6,100.83,4778304
64,7,98.45,4778060
64,8,106.66,4777936
64,9,101.01,4778160
64,10,97.25,4777968
